verse_number,transliteration
1,bismillahir-rahmanir-rahim
2,al-hamdu lillahi rabbil-'alamin
3,ar-rahmanir-rahim
4,maliki yaumid-din
5,iyyaka na'budu wa iyyaka nasta'in
6,ihdinas-siratal-mustaqim
7,siratallazina an'amta 'alaihim gairil-magdubi 'alaihim wa lad-dallin
8,alif lam mim
9,"zalikal-kitabu la raiba fih, hudal lil-muttaqin"
10,allazina yu'minuna bil-gaibi wa yuqimunas-salata wa mimma razaqnahum yunfiqun
11,"wallazina yu'minuna bima unzila ilaika wa ma unzila ming qablik, wa bil-akhirati hum yuqinun"
12,ula'ika 'ala hudam mir rabbihim wa ula'ika humul-muflihun
13,innallazina kafaru sawa'un 'alaihim a anzartahum am lam tunzir-hum la yu'minun
14,"khatamallahu 'ala qulubihim wa 'ala sam'ihim, wa 'ala absarihim gisyawatuw wa lahum 'azabun 'azim"
15,wa minan-nasi may yaqulu amanna billahi wa bil-yaumil-akhiri wa ma hum bimu'minin
16,"yukhadi'unallaha wallazina amanu, wa ma yakhda'una illa anfusahum wa ma yasy'urun"
17,"fi qulubihim maradun fa zadahumullahu marada, wa lahum 'azabun alimum bima kanu yakzibun"
18,wa iza qila lahum la tufsidu fil ardi qalu innama nahnu muslihun
19,ala innahum humul-mufsiduna wa lakil la yasy'urun
20,"wa iza qila lahum aminu kama amanan-nasu qalu a nu'minu kama amanas-sufaha', ala innahum humus-sufaha'u wa lakil la ya'lamun"
21,"wa iza laqullazina amanu qalu amanna, wa iza khalau ila syayatinihim qalu inna ma'akum innama nahnu mustahzi'un"
22,allahu yastahzi'u bihim wa yamudduhum fi tugyanihim ya'mahun
23,ula'ikallazinasytarawud-dalalata bil-huda fa ma rabihat tijaratuhum wa ma kanu muhtadin
24,"masaluhum kamasalillazistauqada nara, fa lamma ada'at ma haulahu zahaballahu binurihim wa tarakahum fi zulumatil la yubsirun"
25,summum bukmun 'umyun fa hum la yarji'un
26,"au kasayyibim minas-sama'i fihi zulumatuw wa ra'duw wa barq, yaj'aluna asabi'ahum fi azanihim minas-sawa'iqi hazaral-maut, wallahu muhitum bil-kafirin"
27,"yakadul-barqu yakhtafu absarahum, kullama ada'a lahum masyau fihi wa iza azlama 'alaihim qamu, walau sya'allahu lazahaba bisam'ihim wa absarihim, innallaha 'ala kulli syai'ing qadir"
28,ya ayyuhan-nasu'budu rabbakumullazi khalaqakum wallazina ming qablikum la'allakum tattaqun
29,"allazi ja'ala lakumul-arda firasyaw was-sama'a bina'aw wa anzala minas-sama'i ma'an fa akhraja bihi minas-samarati rizqal lakum, fa la taj'alu lillahi andadaw wa antum ta'lamun"
30,wa ing kuntum fi raibim mimma nazzalna 'ala 'abdina fa'tu bisuratim mim mislihi wad'u syuhada'akum min dunillahi ing kuntum sadiqin
31,fa il lam taf'alu wa lan taf'alu fattaqun-narallati waquduhan-nasu wal-hijaratu u'iddat lil-kafirin
32,"wa basysyirillazina amanu wa 'amilus-salihati anna lahum jannatin tajri min tahtihal-an-har, kullama ruziqu min-ha min samaratir rizqang qalu hazallazi ruziqna ming qablu wa utu bihi mutasyabiha, wa lahum fiha azwajum mutahharatuw wa hum fiha khalidun"
33,"innallaha la yastahyi ay yadriba masalam ma ba'udatan fa ma fauqaha, fa ammallazina amanu fa ya'lamuna annahul-haqqu mir rabbihim, wa ammallazina kafaru fa yaquluna maza aradallahu bihaza masala, yudillu bihi kasiraw wa yahdi bihi kasira, wa ma yudillu bihi illal-fasiqin"
34,"allazina yangquduna 'ahdallahi mim ba'di misaqihi wa yaqta'una ma amarallahu bihi ay yusala wa yufsiduna fil-ard, ula'ika humul-khasirun"
35,"kaifa takfuruna billahi wa kuntum amwatan fa ahyakum, summa yumitukum summa yuhyikum summa ilaihi turja'un"
