wordnum,ayah,Surah_id,position,uthmani,nastaliq
1,1,1,1,بِسْمِ,بِسۡمِ
2,1,1,2,اللّٰهِ,ٱللَّهِ
3,1,1,3,الرَّحْمٰنِ,ٱلرَّحۡمَٰنِ
4,1,1,4,الرَّحِیْمِ,ٱلرَّحِيمِ
5,2,1,1,اَلْحَمْدُ,ٱلۡحَمۡدُ
6,2,1,2,لِلّٰهِ,لِلَّهِ
7,2,1,3,رَبِّ,رَبِّ
8,2,1,4,الْعٰلَمِیْنَۙ,ٱلۡعَٰلَمِينَ
9,3,1,1,الرَّحْمٰنِ,ٱلرَّحۡمَٰنِ
10,3,1,2,الرَّحِیْمِۙ,ٱلرَّحِيمِ
11,4,1,1,مٰلِكِ,مَٰلِكِ
12,4,1,2,یَوْمِ,يَوۡمِ
13,4,1,3,الدِّیْنِؕ,ٱلدِّينِ
14,5,1,1,اِیَّاكَ,إِيَّاكَ
15,5,1,2,نَعْبُدُ,نَعۡبُدُ
16,5,1,3,وَ اِیَّاكَ,وَإِيَّاكَ
17,5,1,4,نَسْتَعِیْنُؕ,نَسۡتَعِينُ
18,6,1,1,اِهْدِنَا,ٱهۡدِنَا
19,6,1,2,الصِّرَاطَ,ٱلصِّرَٰطَ
20,6,1,3,الْمُسْتَقِیْمَۙ,ٱلۡمُسۡتَقِيمَ
21,7,1,1,صِرَاطَ,صِرَٰطَ
22,7,1,2,الَّذِیْنَ,ٱلَّذِينَ
23,7,1,3,اَنْعَمْتَ,أَنۡعَمۡتَ
24,7,1,4,عَلَیْهِمْ ۙ۬ۦ,عَلَيۡهِمۡ
25,7,1,5,غَیْرِ,غَيۡرِ
26,7,1,6,الْمَغْضُوْبِ,ٱلۡمَغۡضُوبِ
27,7,1,7,عَلَیْهِمْ,عَلَيۡهِمۡ
28,7,1,8,وَ لَا,وَلَا
29,7,1,9,الضَّآلِّیْنَ۠,ٱلضَّآلِّينَ
30,8,2,1,الٓمّٓ ۚ,الٓمٓ
31,9,2,1,ذٰلِكَ,ذَٰلِكَ
32,9,2,2,الْكِتٰبُ,ٱلۡكِتَٰبُ
33,9,2,3,لَا,لَا
34,9,2,4,رَیْبَ ۛۖۚ,رَيۡبَۛ
35,9,2,5,فِیْهِ ۛۚ,فِيهِۛ
36,9,2,6,هُدًی,هُدٗى
37,9,2,7,لِّلْمُتَّقِیْنَ ۙ,لِّلۡمُتَّقِينَ
38,10,2,1,الَّذِیْنَ,ٱلَّذِينَ
39,10,2,2,یُؤْمِنُوْنَ,يُؤۡمِنُونَ
40,10,2,3,بِالْغَیْبِ,بِٱلۡغَيۡبِ
41,10,2,4,وَ یُقِیْمُوْنَ,وَيُقِيمُونَ
42,10,2,5,الصَّلٰوةَ,ٱلصَّلَوٰةَ
43,10,2,6,وَ مِمَّا,وَمِمَّا
44,10,2,7,رَزَقْنٰهُمْ,رَزَقۡنَٰهُمۡ
45,10,2,8,یُنْفِقُوْنَ ۙ,يُنفِقُونَ
46,11,2,1,وَ الَّذِیْنَ,وَٱلَّذِينَ
47,11,2,2,یُؤْمِنُوْنَ,يُؤۡمِنُونَ
48,11,2,3,بِمَاۤ,بِمَآ
49,11,2,4,اُنْزِلَ,أُنزِلَ
50,11,2,5,اِلَیْكَ,إِلَيۡكَ
51,11,2,6,وَ مَاۤ,وَمَآ
52,11,2,7,اُنْزِلَ,أُنزِلَ
53,11,2,8,مِنْ,مِن
54,11,2,9,قَبْلِكَ ۚ,قَبۡلِكَ
55,11,2,10,وَ بِالْاٰخِرَةِ,وَبِٱلۡأٓخِرَةِ
56,11,2,11,هُمْ,هُمۡ
57,11,2,12,یُوْقِنُوْنَ ؕ,يُوقِنُونَ
58,12,2,1,اُولٰٓىِٕكَ,أُوْلَٰٓئِكَ
